dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std,total_requests,script_requests,wasm_requests,unique_hosts
benign,site_235,benign,0.063939,0.033530662,652684,49306103.2,197384.9732,186,100,0,52
benign,site_236,benign,0.0517801,0.038005839,21260128,25491820,6907986.715,17,0,0,5
benign,site_239,benign,0.006713,0.004351315,24452,6269272.4,7804.040892,18,4,0,5
benign,site_24,benign,3.0308757,1.903894881,1200248,14827442.8,1940063.683,67,51,0,5
benign,site_240,benign,0.0106071,0.006910656,2664,3429528,850.1952717,36,16,0,7
benign,site_241,benign,0.040132,0.028224384,261456,16785199.6,94038.62189,64,30,0,11
benign,site_242,benign,0.0024193,0.001397048,864,5771328,275.739007,11,1,0,4
benign,site_244,benign,0.0886421,0.043763504,-5455784,16655269.6,1698322.402,79,37,0,29
benign,site_28,benign,0.0829382,0.052638639,115924,42594848.4,36909.5197,147,75,0,26
benign,site_29,benign,0.0195864,0.012739248,2016,781752,653.8109819,7,2,0,2
benign,site_3,benign,0.0148942,0.011138306,269172,5177110,121202.1039,40,27,0,3
benign,site_31,benign,0.3742484,0.229286601,112888,16143914,38651.81514,128,90,0,4
benign,site_32,benign,0.0048454,0.003151044,864,504028,275.739007,3,0,0,1
benign,site_33,benign,0.0083301,0.004698024,2980,8902544.8,988.2700845,31,7,0,11
benign,site_34,benign,0.653915,0.419923025,-18071072,36364179.6,9747592.358,32,4,0,11
benign,site_35,benign,3.3749849,1.200609688,27089132,65895320,9502148.516,183,119,0,9
benign,site_36,benign,0.0126345,0.008703373,133608,4653217.6,62081.44623,17,8,0,3
benign,site_37,benign,0.2544339,0.190798046,606164,17967468,257612.2742,112,29,0,46
benign,site_38,benign,0.0082927,0.004724374,4916,4250499.6,2083.468992,10,0,0,4
benign,site_4,benign,3.4562104,2.252462364,36457796,119258442.8,11276223.04,136,35,0,33
benign,site_40,benign,0.0049259,0.002786624,864,6143108,275.739007,34,1,0,6
benign,site_42,benign,0.005221,0.003144006,864,979424,275.739007,3,0,0,1
benign,site_43,benign,0.0519914,0.033792426,-8693624,39604635.6,4366458.163,145,16,0,11
benign,site_45,benign,0.2539511,0.13548063,5934004,36170149.2,1937583.042,103,1,0,8
benign,site_46,benign,0.0181554,0.011333815,64436,13049944.4,25286.56886,24,6,0,5
benign,site_48,benign,0.0051548,0.002530792,11852,10508701.2,3355.367306,45,4,0,10
benign,site_49,benign,0.0693907,0.042055233,190164,31468997.6,62691.23872,126,66,0,25
benign,site_5,benign,0.0032791,0.002068321,864,504020,275.739007,3,0,0,1
benign,site_50,benign,0.0299415,0.016030337,696292,29562910.8,209001.4484,206,59,0,55
benign,site_51,benign,0.0070663,0.004844058,147808,4606656.8,65564.30592,17,8,0,3
benign,site_53,benign,0.0086523,0.005345652,864,11563628,275.739007,34,0,0,5
benign,site_55,benign,0.0037733,0.002418498,864,504084,275.739007,4,0,0,2
benign,site_56,benign,0.0075753,0.004624801,13660,4049810,6639.388225,18,5,0,10
benign,site_57,benign,0.1037734,0.046888309,-12612240,44876054.8,4660440.389,80,55,0,5
benign,site_58,benign,0.2641191,0.088658632,3770368,55516524.8,1122661.103,142,96,0,18
benign,site_59,benign,0.0047363,0.002543318,864,6066608,275.739007,23,3,0,13
benign,site_6,benign,0.9645831,0.595821755,762012,77999638.4,231520.1275,175,33,0,33
benign,site_62,benign,0.052703,0.033406863,3128388,49400264.8,1173911.6,145,56,0,28
benign,site_64,benign,0.094326,0.05895277,2680,1975294.4,861.4893151,14,2,0,4
benign,site_65,benign,0.5444045,0.304722054,-4163004,16288904,1782031.093,60,16,0,7
benign,site_67,benign,0.3907699,0.181491471,-15007544,289527869.6,15577479.26,172,59,0,29
benign,site_68,benign,0.0037714,0.002272311,864,934896,275.739007,9,0,0,2
benign,site_69,benign,0.408604,0.418331094,5468332,30910665.2,2409532.366,177,107,0,10
benign,site_7,benign,0.0066619,0.004044797,1032,10708880,351.294748,36,12,0,2
benign,site_70,benign,0.0981129,0.067384514,21638380,25630922.8,6946968.604,12,0,0,3
benign,site_72,benign,0.0052762,0.003098731,864,504016,275.739007,3,0,0,1
benign,site_74,benign,0.0380394,0.018942906,145668,7503271.2,52965.36676,51,14,0,8
benign,site_76,benign,0.0056443,0.003409091,864,504500,275.739007,7,0,0,4
benign,site_77,benign,0.0108471,0.007371008,134236,3405697.2,59843.21687,15,6,0,4
benign,site_78,benign,2.5788938,1.684535978,-1308248,22355695.6,858799.4697,118,13,0,26
benign,site_79,benign,0.4197702,0.273995853,1413368,19766462.4,588568.1022,17,3,0,4
benign,site_8,benign,0.0441494,0.027549559,6543932,45491905.6,3251217.966,139,16,0,9
benign,site_81,benign,0.0079037,0.004625154,2968,7937539.2,984.1329991,32,7,0,11
benign,site_82,benign,0.0052507,0.003118441,864,504112,275.739007,4,0,0,1
benign,site_83,benign,0.0901244,0.052044447,203164,30744382.4,60325.49962,131,71,0,24
benign,site_84,benign,1.3720265,0.779849976,-10491724,31358300,5820352.168,175,55,0,50
benign,site_86,benign,0.0108225,0.005743797,1596,14604646,621.0217387,54,22,0,13
benign,site_87,benign,0.0060277,0.003696617,884,1429580,284.1408102,12,2,0,5
benign,site_88,benign,1.6671548,0.594826099,26804860,61345061.2,7985954.051,171,51,0,51
benign,site_89,benign,0.0217528,0.009574675,42088,16198028,13582.21779,55,9,0,16
benign,site_9,benign,0.0194868,0.010457916,54688,37668328,17822.96954,137,45,0,23
benign,site_90,benign,0.5122578,0.182988557,-684000,10086902.8,1071099.05,65,37,0,8
benign,site_92,benign,0.0793966,0.03775834,1023864,19622623.2,349368.7535,146,26,0,47
benign,site_93,benign,0.0182113,0.010620614,16604,10302616.4,5288.379548,36,6,0,15
benign,site_94,benign,0.1629889,0.137512522,8564024,45553870.4,2568333.522,92,30,0,16
benign,site_97,benign,0.4876385,0.342946614,714828,12518110,224575.22,56,23,0,11
benign,site_98,benign,0.0055603,0.003111475,864,504016,275.739007,3,0,0,1
benign,site_99,benign,0.5354688,0.342476531,649388,16758540.4,1934819.045,68,29,0,24
